,code,name,dialCode
0,AD,أندورا,+376
1,AE,الامارات العربية المتحدة,+971
2,AF,أفغانستان,+93
3,AG,أنتيجوا وبربودا,+1
4,AI,أنجويلا,+1
5,AL,ألبانيا,+355
6,AM,أرمينيا,+374
7,AO,أنجولا,+244
8,AQ,القطب الجنوبي,+672
9,AR,الأرجنتين,+54
10,AS,ساموا الأمريكية,+1
11,AT,النمسا,+43
12,AU,أستراليا,+61
13,AW,آروبا,+297
14,AX,جزر أولان,+358
15,AZ,أذربيجان,+994
16,BA,البوسنة والهرسك,+387
17,BB,بربادوس,+1
18,BD,بنجلاديش,+880
19,BE,بلجيكا,+32
20,BF,بوركينا فاسو,+226
21,BG,بلغاريا,+359
22,BH,البحرين,+973
23,BI,بوروندي,+257
24,BJ,بنين,+229
25,BL,سان بارتيلمي,+590
26,BM,برمودا,+1
27,BN,بروناي,+673
28,BO,بوليفيا,+591
29,BQ,بونير,+599
30,BR,البرازيل,+55
31,BS,الباهاما,+1
32,BT,بوتان,+975
33,BV,جزيرة بوفيه,+47
34,BW,بتسوانا,+267
35,BY,روسيا البيضاء,+375
36,BZ,بليز,+501
37,CA,كندا,+1
38,CC,جزر كوكوس,+61
39,CD,جمهورية الكونغو الديمقراطية,+243
40,CF,جمهورية افريقيا الوسطى,+236
41,CG,الكونغو - برازافيل,+242
42,CH,سويسرا,+41
43,CI,ساحل العاج,+225
44,CK,جزر كوك,+682
45,CL,شيلي,+56
46,CM,الكاميرون,+237
47,CN,الصين,+86
48,CO,كولومبيا,+57
49,CR,كوستاريكا,+506
50,CU,كوبا,+53
51,CV,الرأس الأخضر,+238
52,CW,كوراساو,+599
53,CX,جزيرة الكريسماس,+61
54,CY,قبرص,+357
55,CZ,جمهورية التشيك,+420
56,DE,ألمانيا,+49
57,DJ,جيبوتي,+253
58,DK,الدانمرك,+45
59,DM,دومينيكا,+1
60,DO,جمهورية الدومينيك,+1
61,DZ,الجزائر,+213
62,EC,الاكوادور,+593
63,EE,استونيا,+372
64,EG,مصر,+20
65,EH,الصحراء الغربية,+212
66,ER,اريتريا,+291
67,ES,أسبانيا,+34
68,ET,اثيوبيا,+251
69,FI,فنلندا,+358
70,FJ,فيجي,+679
71,FK,جزر فوكلاند,+500
72,FM,ميكرونيزيا,+691
73,FO,جزر فارو,+298
74,FR,فرنسا,+33
75,GA,الجابون,+241
76,GB,المملكة المتحدة,+44
77,GD,جرينادا,+1
78,GE,جورجيا,+995
79,GF,غويانا,+594
80,GG,غيرنزي,+44
81,GH,غانا,+233
82,GI,جبل طارق,+350
83,GL,جرينلاند,+299
84,GM,غامبيا,+220
85,GN,غينيا,+224
86,GP,جوادلوب,+590
87,GQ,غينيا الاستوائية,+240
88,GR,اليونان,+30
89,GS,جورجيا الجنوبية وجزر ساندويتش الجنوبية,+500
90,GT,جواتيمالا,+502
91,GU,جوام,+1
92,GW,غينيا بيساو,+245
93,GY,غيانا,+595
94,HK,هونج كونج الصينية,+852
95,HM,جزيرة هيرد وماكدونالد,
96,HN,هندوراس,+504
97,HR,كرواتيا,+385
98,HT,هايتي,+509
99,HU,المجر,+36
100,ID,اندونيسيا,+62
101,IE,أيرلندا,+353
102,IL,اسرائيل,+972
103,IM,جزيرة مان,+44
104,IN,الهند,+91
105,IO,المحيط الهندي البريطاني,+246
106,IQ,العراق,+964
107,IR,ايران,+98
108,IS,أيسلندا,+354
109,IT,ايطاليا,+39
110,JE,جيرسي,+44
111,JM,جامايكا,+1
112,JO,الأردن,+962
113,JP,اليابان,+81
114,KE,كينيا,+254
115,KG,قرغيزستان,+996
116,KH,كمبوديا,+855
117,KI,كيريباتي,+686
118,KM,جزر القمر,+269
119,KN,سانت كيتس ونيفيس,+1
120,KP,كوريا الشمالية,+850
121,KR,كوريا الجنوبية,+82
122,KW,الكويت,+965
123,KY,جزر الكايمن,+345
124,KZ,كازاخستان,+7
125,LA,لاوس,+856
126,LB,لبنان,+961
127,LC,سانت لوسيا,+1
128,LI,ليختنشتاين,+423
129,LK,سريلانكا,+94
130,LR,ليبيريا,+231
131,LS,ليسوتو,+266
132,LT,ليتوانيا,+370
133,LU,لوكسمبورج,+352
134,LV,لاتفيا,+371
135,LY,ليبيا,+218
136,MA,المغرب,+212
137,MC,موناكو,+377
138,MD,مولدافيا,+373
139,ME,الجبل الأسود,+382
140,MF,سانت مارتين,+590
141,MG,مدغشقر,+261
142,MH,جزر المارشال,+692
143,MK,مقدونيا,+389
144,ML,مالي,+223
145,MM,ميانمار,+95
146,MN,منغوليا,+976
147,MO,ماكاو الصينية,+853
148,MP,جزر ماريانا الشمالية,+1
149,MQ,مارتينيك,+596
