word,clean_word,sentiment
#مبروك,مبروك,pos
حب,حب,pos
#فخر,فخر,pos
#مبدع,مبدع,pos
#بسمة,بسمه,pos
#فرح,فرح,pos
ابتسمو,ابتسمو,pos
#ابتسام,ابتسام,pos
#نجاح,نجاح,pos
رومانسية,رومانسيه,pos
حبيبي,حبيبي,pos
#إبتسام,ابتسام,pos
سرور,سرور,pos
#اسعد,اسعد,pos
مبروك,مبروك,pos
احب,احب,pos
تحفيز,تحفيز,pos
#جنة,جنه,pos
ما اعظم,اعظم,pos
#صادق,صادق,pos
#متفائل,متفاءل,pos
#احب,احب,pos
#غرام,غرام,pos
#وفاء,وفاء,pos
سعادة,سعاده,pos
إشتياق,اشتياق,pos
#سعيد,سعيد,pos
#تفاؤل,تفاءل,pos
خشوع,خشوع,pos
فرح,فرح,pos
#اجمل,اجمل,pos
#نعيم,نعيم,pos
مبدع,مبدع,pos
#تميز,تميز,pos
#سلام,سلام,pos
غرام,غرام,pos
#طموح,طموح,pos
حبيب,,pos
مجد,مجد,pos
إبتسام,ابتسام,pos
نعيم,نعيم,pos
ضحك,ضحك,pos
#إحتفال,احتفال,pos
عطاء,عطاء,pos
تفاؤل,تفاءل,pos
سعيد,سعيد,pos
#حبيبي,حبيبي,pos
#مميز,ميز,pos
#ابشر,ابشر,pos
مؤمن,مءمن,pos
#رومانسية,رومانسيه,pos
ما اجمل,اجمل,pos
رائع,راءع,pos
#سعادة,سعاده,pos
فخر,فخر,pos
#جميل,جميل,pos
#روعة,روعه,pos
#رائع,راءع,pos
عظيم,عظيم,pos
هدية,هديه,pos
#عشق,عشق,pos
#شكر,شكر,pos
#محترم,محترم,pos
#امل,امل,pos
روعة,روعه,pos
#حبيب,,pos
#سرور,سرور,pos
#مجد,مجد,pos
#نزاهة,نزاهه,pos
#متعة,متعه,pos
#صدق,صدق,pos
#السعادة_الزوجية,السعاده الزوجيه,pos
#مفيد,مفيد,pos
اسعدتيني,اسعدتيني,pos
سلام,سلام,pos
تفاءل,تفاءل,pos
صدق,صدق,pos
عشق,عشق,pos
#بطل,بطل,pos
#عالمي,عالمي,pos
متميز,متميز,pos
خير,خير,pos
#ثقة,ثقه,pos
ابتسم,ابتسم,pos
#صحيح,صحيح,pos
#توفيق,توفيق,pos
#إبتسامة,ابتسامه,pos
#زواج,زواج,pos
متشكرة,متشكره,pos
#احلي_حاجة_في_الحب,احلي حاجه الحب,pos
اروع,اروع,pos
برافو,برافو,pos
#اصرار,اصرار,pos
#عظيم,عظيم,pos
#إشتهاء,اشتهاء,pos
صفاء,صفاء,pos
فكرة,فكره,pos
قشطة,قشطه,pos
#إحترام,احترام,pos
رضا,رضا,pos
مميز,ميز,pos
وطن,وطن,pos
متفائل,متفاءل,pos
#إحتراف,احتراف,pos
طموح,طموح,pos
#كيوت,كيوت,pos
#نصيحة,نصيحه,pos
#عالي,عالي,pos
#صور_مضحكة,صور مضحكه,pos
#كريم,كريم,pos
ريادة,رياده,pos
صحيح,صحيح,pos
#غرد_بالخير,غرد بالخير,pos
جمال,جمال,pos
اجمل,اجمل,pos
#هدية,هديه,pos
نعمة,نعمه,pos
#غالي,غالي,pos
#مهذب,مهذب,pos
#حفلة,حفله,pos
مشتاق,مشتاق,pos
ميرسي,ميرسي,pos
#افضل,افضل,pos
#خير,خير,pos
وفاء,وفاء,pos
كييوت,كيوت,pos
#حلو,حلو,pos
اعظم,اعظم,pos
#ضحك,ضحك,pos
اصرار,اصرار,pos
عفو,عفو,pos
بتضحكني,بتضحكني,pos
#جمال,جمال,pos
#ذوق,ذوق,pos
#ريادة,رياده,pos
اناقة,اناقه,pos
طيب,طيب,pos
نزاهة,نزاهه,pos
تحمس,تحمس,pos
حلو,حلو,pos
شتقتلك,شتقتلك,pos
#اناقة,اناقه,pos
#عادل,عادل,pos
زواج,زواج,pos
ريادي,ريادي,pos
رزق,,pos
بارك,بارك,pos
#يقين,يقين,pos
#امين_الشعب,امين الشعب,pos
#تطوير,تطوير,pos
إفتخر,افتخر,pos
#صباح,,pos
رحمة,رحمه,pos
عااجبه,عاجبه,pos
برنس,برنس,pos
#حرية,حريه,pos
استحق,استحق,pos
#مهم,مهم,pos
جدع,جدع,pos
#انشودة,انشوده,pos
عالمي,عالمي,pos
نفع,نفع,pos
#جدع,جدع,pos
راقي,راقي,pos
حكمة,حكمه,pos
بيرفكت,بيرفكت,pos
يسر,يسر,pos
جميل,جميل,pos
تطوير,تطوير,pos
#انوثة,انوثه,pos
اححبها,احبها,pos
طاعة,طاعه,pos
جديد,جديد,pos
شكر,شكر,pos
مامتك,مامتك,pos
حرية,حريه,pos
#تحفيز,تحفيز,pos
اشتقتلك,اشتقتلك,pos
قوة,,pos
#طيب,طيب,pos
#الحياة_الزوجية,الحياه الزوجيه,pos
اشتقتلها,اشتقتلها,pos
حق,حق,pos
احبهه,احبه,pos
اسعد,اسعد,pos
#طبيعة,طبيعه,pos
توفيق,توفيق,pos
رومانصيه,رومانصيه,pos
#حلوي,حلوي,pos
#حكمة,حكمه,pos
حسن,حسن,pos
عائلة,عاءله,pos
#مبسوط,مبسوط,pos
زين,زين,pos
كيوت,كيوت,pos
رضي,رضي,pos
#حمد,حمد,pos
مبادرة,مبادره,pos
#بارق,بارق,pos
#شوق,شوق,pos
#غني,غني,pos
امل,امل,pos
احساس,احساس,pos
#شعر,شعر,pos
صبر,,pos
#نور,نور,pos
علم,,pos
غفر,غفر,pos
عرش,عرش,pos
شعر,شعر,pos
#نكتة,نكته,pos
#مناسبة,مناسبه,pos
#ملك,ملك,pos
عاش,عاش,pos
لطافة,لطافه,pos
#اعمال_فنيه,اعمال فنيه,pos
كريم,كريم,pos
شفاء,شفاء,pos
#قلب,قلب,pos
#صباح_الخير,الخير,pos
يباركلك,يباركلك,pos
سلم,سلم,pos
عالي,عالي,pos
#غزل,غزل,pos
احسن,احسن,pos
مشكرين,مشكرين,pos
#دعوة,دعوه,pos
افضل,افضل,pos
#قناعة,قناعه,pos
عالم,عالم,pos
استطاع,استطاع,pos
غزل,غزل,pos
#اكل,اكل,pos
#سار,سار,pos
#الرحلة_العاطفية,الرحله العاطفيه,pos
فن,فن,pos
تمني,تمني,pos
حفل,حفل,pos
#صبر,,pos
تشرف,تشرف,pos
سهل,سهل,pos
شرح,شرح,pos
تصميم,تصميم,pos
#مرحب,مرحب,pos
الحبابي,الحبابي,pos
درة,دره,pos
#تنمية_بشرية,تنميه بشريه,pos
رفع,رفع,pos
يقلبي,يقلبي,pos
#حكم,حكم,pos
استمر,استمر,pos
#قصايد,قصايد,pos
معلوم,معلوم,pos
فني,فني,pos
كرم,كرم,pos
شوق,شوق,pos
#جاد,جاد,pos
ولد,ولد,pos
ابهي,ابهي,pos
احببببك,احبك,pos
حلم,حلم,pos
